OBJECTID,CODE,TYPELOCAL,NOM,SERV_ECOLE,SERV_POSTE,SERV_DOUAN,SERV_GENDA,SERV_HOPIT,SERV_INFR_,SERV_MUSUL,SERV_CHRET,SERV_CHAT_,SERV_PT_EA,SERV_ANT_H,SERV_EOLIE,SERV_PUITS,THEME,PAYS,IDUU,longitude,latitude
"262","4600060","6",Ngogom,"1","0","0","0","0","1","1","0","1","0","1","0","0",LA,SN,083deb84-bd83-4ee1-b0be-54f61962606b,335870.0000000,1631201.0000000
"263","4600060","6",Balou,"1","1","0","0","0","1","1","0","0","0","0","0","0",LA,SN,8f0d8f6c-dd38-4eab-a527-f47e820d51fb,797353.0000000,1631361.0000000
"264","4600060","6",Dala Ngabou,"1","0","0","0","0","1","1","0","1","0","1","0","0",LA,SN,0919936a-938e-45eb-b906-984f0e71b2af,391153.0000000,1632862.0000000
"265","4600060","6",Réfane,"1","0","0","0","0","1","1","0","1","0","1","0","0",LA,SN,0f17a040-a394-42df-81fc-006b696804b1,326177.0000000,1635630.0000000
"266","4600060","6",Sadio,"1","0","0","0","0","1","1","0","0","0","1","0","0",LA,SN,4e982956-1371-4d1f-9c9f-10c86b3f2126,441273.0000000,1636059.0000000
"267","4600060","6",Taïba Moutoufa,"1","0","0","0","0","1","1","0","1","0","1","0","0",LA,SN,c7cdd522-dda5-497d-a78f-94be890123fe,360092.0000000,1636256.0000000
"268","4600060","6",Gassane,"1","0","0","0","0","1","1","0","1","0","1","0","0",LA,SN,ce959ec4-ed6e-46a7-83df-9437dd8eab66,468444.0000000,1638396.0000000
"269","4600060","6",Nghaye,"1","0","0","0","0","1","1","0","1","0","1","0","0",LA,SN,81d4d545-2f16-4a1c-b531-c003eeb940e6,387379.0000000,1638638.0000000
"270","4600060","6",Touba Toul,"1","0","0","0","0","1","1","0","1","0","1","0","0",LA,SN,d2d612ac-9e3d-4955-bdf0-f715d3d2493b,320923.0000000,1638902.0000000
"271","4600060","6",Dankh Sène,"1","0","0","0","0","1","1","0","1","0","1","0","0",LA,SN,d0754063-369c-48c1-ab70-7493e4c75afa,376949.0000000,1640777.0000000
"272","4600060","6",Gawane,"1","0","0","0","0","1","1","0","1","0","1","0","0",LA,SN,b46f8291-df05-4266-bc80-8131c87e0101,350459.0000000,1642667.0000000
"273","4600060","6",Touba,"1","1","0","1","1","1","1","0","1","0","0","0","0",LA,SN,0a9eb9e9-b7c7-4bf9-955b-229f7ea36687,405874.0000000,1643303.0000000
"274","4600060","6",Touba Fal,"1","0","0","0","0","1","1","0","0","0","0","0","0",LA,SN,8e7dc51a-65de-44fd-9937-349ad26c9cfe,393088.0000000,1643748.0000000
"275","4600060","6",Keur Ngalgou,"1","0","0","0","0","1","1","0","0","0","1","0","0",LA,SN,a477cbed-b32e-4418-b396-2e243aa885ac,359328.0000000,1644678.0000000
"276","4600060","6",Diender Guedj,"1","0","0","0","0","1","1","0","0","0","0","0","0",LA,SN,01c90268-259f-4e7a-85c1-3e4565cf3a26,276188.0000000,1645553.0000000
"277","4600060","6",Chérif Lô,"1","0","0","0","0","1","1","0","0","0","1","0","0",LA,SN,398ee4b9-5ea3-4ef6-a854-4e68a5efccb7,300647.0000000,1647359.0000000
"278","4600060","6",Keur Samba Kane,"1","0","0","0","0","1","1","0","1","0","1","0","0",LA,SN,2cc24d8a-bbe2-4b9a-a842-139c1a9da2c9,328016.0000000,1647535.0000000
"279","4600060","6",Gad Escale,"1","0","0","0","0","1","1","0","1","0","1","0","0",LA,SN,5ff09397-3f11-4ce3-b4de-d48b0b083190,354587.0000000,1648708.0000000
"280","4600060","6",Mont Rolland,"1","0","0","0","0","1","1","1","1","0","1","0","0",LA,SN,d55ae101-c04b-4f18-8b5d-e76cb3c39484,286721.0000000,1650163.0000000
"281","4600060","6",Tièl,"1","0","0","0","0","1","1","0","1","0","0","0","0",LA,SN,1fe41046-050d-454c-a8eb-2809c18c03af,493728.0000000,1651427.0000000
"282","4600060","6",Missira,"1","0","0","0","0","1","1","0","1","0","1","0","0",LA,SN,c127f5c0-ec8b-43a0-8564-8e522cc0bb16,396502.0000000,1651814.0000000
"283","4600060","6",Dinguiraye,"1","0","0","0","0","1","1","0","1","0","0","0","0",LA,SN,23e5dd1d-12df-4bbb-b3f2-4796ef1ba9d5,346295.0000000,1655965.0000000
"284","4600060","6",Noto Gouye Diama,"1","0","0","0","0","1","1","1","1","0","1","0","0",LA,SN,2a6c4f95-439e-4cfb-91ad-3dc3341282cc,284050.0000000,1658337.0000000
